,compound_id,compound_name,compound_name_iupac,compound_sf,compound_mw,compound_rt,compound_mq,compound_iso_smiles,compound_can_smiles,compound_xlogp,compound_folder,KMD-CH2,KMD-OCH2,KMD-C2H4O,KMD-CO,KMD-H2,KMD-COO,KMD-H2O,KMD-O,KMD-O2,KMD-S,KMD-OS,KMD-Cl,KMD-Br,KMD-NH3,KMD-C2H4,KMD-C3H8,KMD-C3H8O,KMD-C5H6O,KMD-CH4,KMD-C2O,KMD-C2H2O,KMD-C3H6O,KMDrem-CH2,KMDn-CH2,KMDrescaled-CH2,KMDrem-OCH2,KMDn-OCH2,KMDrescaled-OCH2,KMDrem-C2H4O,KMDn-C2H4O,KMDrescaled-C2H4O,KMDrem-CO,KMDn-CO,KMDrescaled-CO,KMDrem-H2,KMDn-H2,KMDrescaled-H2,KMDrem-COO,KMDn-COO,KMDrescaled-COO,KMDrem-H2O,KMDn-H2O,KMDrescaled-H2O,KMDrem-O,KMDn-O,KMDrescaled-O,KMDrem-O2,KMDn-O2,KMDrescaled-O2,KMDrem-S,KMDn-S,KMDrescaled-S,KMDrem-OS,KMDn-OS,KMDrescaled-OS,KMDrem-Cl,KMDn-Cl,KMDrescaled-Cl,KMDrem-Br,KMDn-Br,KMDrescaled-Br,KMDrem-NH3,KMDn-NH3,KMDrescaled-NH3,KMDrem-C2H4,KMDn-C2H4,KMDrescaled-C2H4,KMDrem-C3H8,KMDn-C3H8,KMDrescaled-C3H8,KMDrem-C3H8O,KMDn-C3H8O,KMDrescaled-C3H8O,KMDrem-C5H6O,KMDn-C5H6O,KMDrescaled-C5H6O,KMDrem-CH4,KMDn-CH4,KMDrescaled-CH4,KMDrem-C2O,KMDn-C2O,KMDrescaled-C2O,KMDrem-C2H2O,KMDn-C2H2O,KMDrescaled-C2H2O,KMDrem-C3H6O,KMDn-C3H6O,KMDrescaled-C3H6O
0,Fallopia_000,Acetone,Propan-2-one,C3 H6 O,58.04181,1.061,0.0,CC(=O)C,CC(=O)C,-0.1,Fallopia,0.023000270212044427,-0.021377416020477824,-0.007249875770682479,-0.05235351080211359,0.4088426623302652,-0.05522967858485117,-0.00776368363307256,-0.060263658035445644,-0.060263658035445644,-0.0925117384064933,-0.08175839871583435,-0.09350877118377099,-0.10187778055659891,0.04869324136301856,0.023000270212044427,0.04065068661946469,0.01377451084129433,-0.012192078412418539,0.07151306931694279,-0.04919005537712451,-0.02721382906558034,5.477341415627279e-05,O,3,1.1412181772523626,C2 H4,1,0.9340477403224853,C H2,1,0.3183478330927985,C2 H6,1,1.0733002976324675,C3 O,3,25.795605862518414,C2 H6,1,0.6830431195819622,C3 H4,1,2.2226565813572643,C3 H6,1,2.6287699055257834,C3 H6 O,0,1.8143849527628915,C3 H6 O,0,1.815392706226178,C3 H6 O,0,1.210037776028998,C3 H6 O,0,1.6598161037987582,C3 H6 O,0,0.7354675019016811,C3 H6 O,0,3.4089036168304956,C H2 O,1,1.0706090886261812,C3 H6 O,0,1.3172591829194802,C3 H6 O,0,0.9664380041602726,C3 H6 O,0,0.7074664251633187,C2 H2 O,1,2.6205338522883843,C H6,1,0.4512311218824157,C H4,1,0.38160163400550956,,1,0.0
1,Fallopia_001,4-hydroxybutanoic acid,4-hydroxybutanoic acid,C4 H8 O3,104.04737,1.061,0.903,C(CC(=O)O)CO,C(CC(=O)O)CO,-0.6,Fallopia,0.06881070085258045,-0.010741979175463712,0.014583444128192014,-0.06627059199612972,-0.2395174485554037,-0.0714264907090012,0.013662377800869763,-0.08045054289603115,-0.08045054289603115,-0.13825935261708366,-0.11898261549379185,-0.14004666142567146,-0.1550491814151087,0.11486863866920771,0.06881070085258045,0.10045133036770437,0.05227234688361193,0.005723913612513343,0.15577609972974926,-0.06059969343039029,-0.021204496239946025,0.027677962311798865,O3,4,3.423654531757088,C H2,3,0.46702387016124264,O,2,0.36330433381440286,C H8,3,0.716651596565868,C4 O3,4,47.61974588303584,C H8,3,0.4560736107606728,C4 H2,3,2.7770173196628845,C4 H8,3,3.505026540701045,C4 H8 O,1,2.2525132703505224,C4 H8 O3,0,3.2543197952049034,C4 H8 O3,0,2.169144931546438,C4 H8 O3,0,2.975429164426311,C4 H8 O3,0,1.3184180160908632,C4 H8 O3,0,6.110888559896486,O3,2,1.711827265878544,C O3,1,1.3613527914308006,C O2,1,0.7324616965742335,C4 H8 O3,0,1.2682225636115299,C2 O3,2,4.4902623792097565,H8 O,2,0.601514345167232,H4 O,2,0.476694729030929,C H2 O2,1,0.7926257960846134
2,Fallopia_002,DL-Lactic Acid,2-hydroxypropanoic acid,C3 H6 O3,90.03166,0.649,0.941,CC(C(=O)O)O,CC(C(=O)O)O,-0.7,Fallopia,0.06887056946774806,3.404010257668233e-05,0.021948000063616746,-0.04801458611201781,-0.33262929656375206,-0.05247595904160107,0.021151006055788457,-0.06028442549610702,-0.06028442549610702,-0.1103060944898715,-0.09362603191266317,-0.11185264371036396,-0.12483424794343989,0.10872426877611474,0.06887056946774806,0.09624904523980149,0.05456001590457049,0.014281893374445076,0.14412128674655378,-0.04310758642941437,-0.009019122693302961,0.0332786200395816,O3,3,3.423654531757088,,3,0.0,C H2 O2,1,1.0449565007216042,H6,3,0.21600173729956104,C3 O3,3,41.66633154213196,H6,3,0.13746246116363003,C3,3,1.998826834781103,C3 H6,3,2.6287699055257834,C3 H6 O,1,1.8143849527628915,C3 H6 O3,0,2.815948130510177,C3 H6 O3,0,1.8769512522383265,C3 H6 O3,0,2.5746253350323176,C3 H6 O3,0,1.140821118168027,C3 H6 O3,0,5.287724101777485,C H2 O3,1,2.211827265878544,C3 H6 O3,0,2.0432678399652726,C3 H6 O3,0,1.4990912333929167,C3 H6 O3,0,1.0973872212358444,C2 H2 O3,1,4.615994543678678,C H6 O2,1,1.251078541071229,C H4 O2,1,1.1430726944338092,O2,1,0.551150955301536
3,Fallopia_003,L-(+)-Lactic acid,2-hydroxypropanoic acid,C3 H6 O3,90.03158,0.654,0.997,C[C@@H](C(=O)O)O,CC(C(=O)O)O,-0.7,Fallopia,0.06895048013865335,0.00011401193999915904,0.0220279524288145,-0.0479345715797308,-0.33254991770587594,-0.05239594054503982,0.021230959129184157,-0.060204400061124375,-0.060204400061124375,-0.11022602460681696,-0.09354597685111798,-0.11177257245309136,-0.12475416515101756,0.1088041440339822,0.06895048013865335,0.09632893158286038,0.0546399392915049,0.014361852551573406,0.14420113055146544,-0.04302757625737286,-0.00893914281144248,0.033358562336673,O3,3,3.423654531757088,,3,0.0,C H2 O2,1,1.0449565007216042,H6,3,0.21600173729956104,C3 O3,3,41.66633154213196,H6,3,0.13746246116363003,C3,3,1.998826834781103,C3 H6,3,2.6287699055257834,C3 H6 O,1,1.8143849527628915,C3 H6 O3,0,2.815948130510177,C3 H6 O3,0,1.8769512522383265,C3 H6 O3,0,2.5746253350323176,C3 H6 O3,0,1.140821118168027,C3 H6 O3,0,5.287724101777485,C H2 O3,1,2.211827265878544,C3 H6 O3,0,2.0432678399652726,C3 H6 O3,0,1.4990912333929167,C3 H6 O3,0,1.0973872212358444,C2 H2 O3,1,4.615994543678678,C H6 O2,1,1.251078541071229,C H4 O2,1,1.1430726944338092,O2,1,0.551150955301536
4,Fallopia_004,None,None,C4 H8 O,72.05754,2.284,0.0,None,None,,Fallopia,0.022920423929150502,-0.03217342825787739,-0.014634419797403098,-0.07062952031930081,-0.4980653343758661,-0.07420021487639872,-0.01527230015635439,-0.08044978179412965,-0.08044978179412965,-0.12048501400448686,-0.10713499606235644,-0.12172280671339308,-0.13211273472637686,0.054817642441619796,0.022920423929150502,0.04483300016158864,0.011466860973612825,-0.02077004796862525,0.08314792134889615,-0.06670216492111081,-0.039419197582688525,-0.005565869887917074,O,4,1.1412181772523626,C3 H6,1,1.4010716104837277,C2 H4,1,0.636695666185597,C3 H8,1,1.5739501568987746,C4 O,4,31.749020203422297,C3 H8,1,1.001654269179005,C4 H6,1,3.000847066239046,C4 H8,1,3.505026540701045,C4 H8 O,0,2.2525132703505224,C4 H8 O,0,2.2537643709209045,C4 H8 O,0,1.5022314553371094,C4 H8 O,0,2.0606199331927515,C4 H8 O,0,0.9130643998245173,C4 H8 O,0,4.232068074949496,O,2,0.5706090886261813,C O,1,0.6353441343850083,C,1,0.19980846734158947,C4 H8 O,0,0.878301767539004,C2 O,2,2.494801687819463,C2 H8,1,0.8016669259784188,C2 H6,1,0.7152236686026294,C H2,1,0.24147484078307738
5,Fallopia_005,2-Hydroxyisovaleric acid,2-hydroxy-3-methylbutanoic acid,C5 H10 O3,118.06303,2.364,0.8109999999999999,CC(C)C(C(=O)O)O,CC(C)C(C(=O)O)O,0.5,Fallopia,0.06880077640674642,-0.02146801605510973,0.0072688584210283125,-0.08447658879754272,-0.14635598876088807,-0.0903270108160541,0.00622372021680917,-0.10056664439908047,-0.10056664439908047,-0.16616256706740273,-0.14428916466145836,-0.1681906346051676,-0.18521406314148692,0.12106293059845541,0.06880077640674642,0.1047035444600084,0.05003462997950692,-0.002784091663698973,0.16748081509101098,-0.07804179407382605,-0.033339882360408524,0.022127268519682275,O3,5,3.423654531757088,C2 H4,3,0.9340477403224853,C H2 O,2,0.6816521669072014,C2 H10,3,1.217301455832175,C5 O3,5,53.57316022393972,C2 H10,3,0.7746847603577156,C5 H4,3,3.555207804544666,C5 H10,3,4.381283175876305,C5 H10 O,1,2.6906415879381527,C5 H10 O3,0,3.6926914598996294,C5 H10 O3,0,2.461338610854549,C5 H10 O3,0,3.3762329938203033,C5 H10 O3,0,1.4960149140136991,C5 H10 O3,0,6.934053018015486,C H2 O3,2,2.211827265878544,C2 H2 O3,1,1.6794377428963287,C2 H2 O2,1,0.9658321597555504,H4 O2,1,0.439057905987215,C3 H2 O3,2,5.364530214740836,C H10 O,2,0.9519501492632352,C H6 O,2,0.8103167636280488,C2 H4 O2,1,1.0341006368676908
6,Fallopia_006,Glycolic acid,2-hydroxyacetic acid,C2 H4 O3,76.01596,0.525,0.983,C(C(=O)O)O,C(C(=O)O)O,-1.1,Fallopia,0.06892044924903473,0.010800062900926832,0.02930256195337222,-0.029768582044468417,-0.42575106692933673,-0.03353542968628176,0.0286296401765469,-0.040128311275552164,-0.040128311275552164,-0.08236284509803227,-0.06827945521422407,-0.08366863490223864,-0.09462932482084341,0.10256991447580788,0.06892044924903473,0.09203677431901269,0.056837694502135605,0.022829878239221557,0.13245649328773368,-0.025625480699957848,0.0031562533681039895,0.038869284980250995,O3,2,3.423654531757088,O,2,0.5329761298387574,O2,1,0.7266086676288057,H4 O,2,0.7153518780332541,C2 O3,2,35.71291720122807,H4 O,2,0.4552464761711703,C2 O,2,2.220636349899321,C2 H4,3,1.7525132703505224,C2 H4 O,1,1.3762566351752612,C2 H4 O3,0,2.377576465815451,C2 H4 O3,0,1.5847575729302155,C2 H4 O3,0,2.1738215056383248,C2 H4 O3,0,0.963224220245191,C2 H4 O3,0,4.464559643658485,O3,1,1.711827265878544,C2 H4 O3,0,1.7251828884997447,C2 H4 O3,0,1.2657207702116,C2 H4 O3,0,0.9265518788601593,C O3,1,3.7417267081475982,H4 O2,1,0.900642736975226,H2 O2,1,0.8094506598366892,C2 H4 O3,0,1.309676114518459
7,Fallopia_007,D-α-Hydroxyglutaric acid,None,C5 H8 O5,148.03721,0.643,0.7440000000000001,None,None,,Fallopia,0.12809035127330048,0.01490385939584371,0.05093653382041907,-0.06410151015018073,0.11219183310006997,-0.0714372540569741,0.04962605293729894,-0.08427655512400634,-0.08427655512400634,-0.16652615840109775,-0.13909947398192912,-0.1690691175305119,-0.1904145028314872,0.19362097076637497,0.12809035127330048,0.17310821684802136,0.104559801874899,0.0383313119926072,0.251823560640446,-0.05603303132301107,1.7929690926621333e-05,0.06956723960564659,C O5,4,6.562276646095303,C O,4,0.9328353169731385,C O3,2,1.3624778828111117,H8,5,0.2880023163994147,C5 O5,4,69.44388590355325,H8,5,0.18328328155150672,C5 O,4,4.219463184680424,C5 H8,5,4.255264993697714,C5 H8 O,2,2.6276324968488565,C5 H8 O5,0,4.630202796315029,C5 H8 O5,0,3.086230475092725,C5 H8 O5,0,4.233400926873739,C5 H8 O5,0,1.8758275673493434,C5 H8 O5,0,8.694490731886015,C O5,2,3.2811383230476516,C2 O5,1,2.359701254338705,C2 O4,1,1.464923393148467,H2 O4,1,0.8044101471023961,C3 O5,2,7.234258741662208,C H8 O3,2,1.7013999095588421,C H4 O3,2,1.5238082246479594,C2 H2 O4,1,1.5505240714226798
8,Fallopia_008,"2,2-Bis(hydroxymethyl)propionic acid",3-hydroxy-2-(hydroxymethyl)-2-methylpropanoic acid,C5 H10 O4,134.05793,0.646,0.841,CC(CO)(CO)C(=O)O,CC(CO)(CO)C(=O)O,-1.3,Fallopia,0.09176089811924726,-0.01073729679438884,0.02189278145229423,-0.08228212191116313,-0.017067162314816642,-0.08892514526425543,0.02070605039668294,-0.1005520201809702,-0.1005520201809702,-0.17503472327064173,-0.15019796405314878,-0.17733754860057616,-0.19666727096227987,0.15110340532308442,0.09176089811924726,0.13252768825236672,0.07045235856955401,0.010477881472581885,0.20380987499484604,-0.07497555642117959,-0.02421753546119021,0.03876417380024577,O4,5,4.5648727090094505,C H2,4,0.46702387016124264,C H2 O2,2,1.0449565007216042,C H10,4,0.7886521756657217,C5 O4,5,61.50852306374649,C H10,4,0.5018944311485495,C5 H2,4,3.443292931256585,C5 H10,4,4.381283175876305,C5 H10,2,2.1906415879381527,C5 H10 O4,0,4.192969172041629,C5 H10 O4,0,2.7947953489592128,C5 H10 O4,0,3.8336376094370825,C5 H10 O4,0,1.6986917221468718,C5 H10 O4,0,7.87346326048898,C H2 O4,2,2.7824363545047253,C2 H2 O4,1,2.0424420714192246,C2 H2 O3,1,1.2321587743718725,H4 O3,1,0.6340183040234779,C3 H2 O4,2,6.362260560435981,C H10 O2,2,1.3518738588576418,C H6 O2,2,1.1910522938421988,C2 H4 O3,1,1.309676114518459
9,Fallopia_009,None,None,C4 H8 O,72.05753,2.069,0.0,None,None,,Fallopia,0.022930412763017216,-0.032163431778187146,-0.01462442575174805,-0.07061951850276671,-0.4980554120186298,-0.0741902125643179,-0.015262306022179928,-0.08043977861474616,-0.08043977861474616,-0.12047500526909971,-0.10712498917966684,-0.12171279780623934,-0.13210272437730453,0.05482762684886211,0.022930412763017216,0.04484298595447456,0.01147685139697785,-0.020760053071484208,0.08315790182452076,-0.06669216364960562,-0.03940920009745241,-0.0055558771007611085,O,4,1.1412181772523626,C3 H6,1,1.4010716104837277,C2 H4,1,0.636695666185597,C3 H8,1,1.5739501568987746,C4 O,4,31.749020203422297,C3 H8,1,1.001654269179005,C4 H6,1,3.000847066239046,C4 H8,1,3.505026540701045,C4 H8 O,0,2.2525132703505224,C4 H8 O,0,2.2537643709209045,C4 H8 O,0,1.5022314553371094,C4 H8 O,0,2.0606199331927515,C4 H8 O,0,0.9130643998245173,C4 H8 O,0,4.232068074949496,O,2,0.5706090886261813,C O,1,0.6353441343850083,C,1,0.19980846734158947,C4 H8 O,0,0.878301767539004,C2 O,2,2.494801687819463,C2 H8,1,0.8016669259784188,C2 H6,1,0.7152236686026294,C H2,1,0.24147484078307738
